 Name               Version  License                                        URL                                                
 Pygments           2.19.2   BSD License                                    https://pygments.org                               
 Send2Trash         2.1.0    BSD-3-Clause                                   https://github.com/arsenetar/send2trash            
 iniconfig          2.3.0    MIT                                            https://github.com/pytest-dev/iniconfig            
 linkify-it-py      2.1.0    MIT License                                    https://github.com/tsutsu3/linkify-it-py           
 markdown-it-py     4.0.0    MIT License                                    https://github.com/executablebooks/markdown-it-py  
 mdit-py-plugins    0.5.0    MIT License                                    https://github.com/executablebooks/mdit-py-plugins 
 mdurl              0.1.2    MIT License                                    https://github.com/executablebooks/mdurl           
 packaging          26.0     Apache-2.0 OR BSD-2-Clause                     https://github.com/pypa/packaging                  
 platformdirs       4.9.4    MIT                                            https://github.com/tox-dev/platformdirs            
 pluggy             1.6.0    MIT License                                    UNKNOWN
 pytest             9.0.2    MIT                                            https://docs.pytest.org/en/latest/                 
 pytest-asyncio     1.3.0    Apache-2.0                                     https://github.com/pytest-dev/pytest-asyncio       
 rich               14.3.3   MIT License                                    https://github.com/Textualize/rich                 
 ruff               0.15.7   MIT                                            https://docs.astral.sh/ruff                        
 textual            0.89.1   MIT License                                    https://github.com/Textualize/textual              
 typing_extensions  4.15.0   PSF-2.0                                        https://github.com/python/typing_extensions        
 uc-micro-py        2.0.0    MIT License                                    https://github.com/tsutsu3/uc.micro-py             
 zivo               0.12.0   MIT License                                    https://github.com/devgamesan/zivo                 
